City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Suntar,RU,2020-08-27 21:02:58,62.14,117.63,42.84,64,1,3.38
285,Aswan,EG,2020-08-27 21:02:58,24.09,32.91,86.38,21,79,9.82
286,Salalah,OM,2020-08-27 20:59:09,17.02,54.09,77.0,94,90,4.7
287,Caraguatatuba,BR,2020-08-27 21:02:58,-23.63,-45.49,80.6,28,2,6.93
288,Faya,SA,2020-08-27 21:01:16,18.39,42.45,69.8,82,81,5.61
289,Sokoto,NG,2020-08-27 21:02:58,13.06,5.24,81.0,68,94,5.5
290,Riviere-Au-Renard,CA,2020-08-27 21:02:59,49.0,-64.4,60.8,59,40,14.99
291,Darhan,MN,2020-08-27 21:02:59,49.49,105.92,53.55,88,58,3.33
292,Huntsville,US,2020-08-27 21:02:09,34.73,-86.59,91.0,62,1,9.17
293,Cabedelo,BR,2020-08-27 21:02:59,-6.98,-34.83,77.0,69,20,14.99
294,Dingle,PH,2020-08-27 20:59:13,11.0,122.67,74.93,85,96,2.06
295,Yablonovo,RU,2020-08-27 21:02:59,50.85,37.36,64.4,68,75,6.71
296,Eureka,US,2020-08-27 21:02:50,40.8,-124.16,64.0,93,90,5.82
297,Buala,SB,2020-08-27 21:02:59,-8.14,159.59,81.86,79,100,11.61
298,Sal Rei,CV,2020-08-27 21:02:59,16.18,-22.92,80.6,78,75,8.05
299,Pangoa,PE,2020-08-27 21:02:59,-12.12,-73.0,85.91,46,1,4.09
300,Castro,BR,2020-08-27 20:58:55,-24.79,-50.01,61.48,71,0,3.51
301,Marsa Matruh,EG,2020-08-27 20:59:30,31.35,27.25,78.8,74,0,10.29
302,Fortuna,US,2020-08-27 21:03:00,40.6,-124.16,70.0,77,1,10.29
303,Doka,SD,2020-08-27 21:03:00,13.52,35.77,72.46,96,100,3.2
