City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Namie,JP,37.48,141.0,77.0,89,61,8.61,broken clouds
313,Ixtapa,MX,20.7,-105.2,87.8,70,40,11.41,scattered clouds
314,Port-Gentil,GA,-0.72,8.78,77.0,83,90,13.4,overcast clouds
315,Kavaratti,IN,10.57,72.64,81.45,80,98,14.43,moderate rain
316,Port Moresby,PG,-9.44,147.18,75.2,100,90,6.93,fog
317,Palmer,US,42.16,-72.33,81.0,74,75,9.17,broken clouds
318,Qidong,CN,31.81,121.66,81.0,96,64,6.67,broken clouds
319,Yumen,CN,40.28,97.2,52.65,56,0,4.92,clear sky
320,Sapulpa,US,36.0,-96.11,89.6,55,1,6.93,clear sky
321,Russell,US,32.35,-85.2,87.8,74,40,3.36,scattered clouds
322,Olutanga,PH,7.31,122.85,81.86,77,100,2.91,overcast clouds
323,Edea,CM,3.8,10.13,77.0,100,75,2.01,broken clouds
324,Norfolk,US,42.17,-71.25,78.01,94,100,12.75,overcast clouds
325,Adrar,MR,20.5,-10.07,98.37,9,71,17.58,broken clouds
326,Pringsewu,ID,-5.36,104.97,71.44,90,71,1.32,broken clouds
327,Ust-Nera,RU,64.57,143.2,48.79,49,71,4.18,broken clouds
328,Marquette,US,46.53,-87.63,63.0,89,79,1.01,broken clouds
329,Volosovo,RU,59.43,29.48,55.99,93,75,6.71,light intensity shower rain
330,Nadym,RU,65.53,72.52,42.62,83,100,8.39,overcast clouds
331,Caxias,PT,38.7,-9.28,66.0,72,23,20.8,few clouds
332,Tecoanapa,MX,16.52,-98.75,80.83,77,100,4.99,overcast clouds
333,Katherine,AU,-14.47,132.27,64.4,77,77,4.7,broken clouds
334,Saint-Augustin,CA,51.23,-58.65,59.99,60,49,4.65,scattered clouds
335,Nanortalik,GL,60.14,-45.24,50.38,75,100,7.78,light rain
336,Vila Franca Do Campo,PT,37.72,-25.43,75.2,78,20,6.93,few clouds
337,Nchelenge,ZM,-9.35,28.73,72.99,54,6,0.78,clear sky
338,Xai-Xai,MZ,-25.05,33.64,74.16,72,0,6.64,clear sky
339,Nurota,UZ,40.56,65.69,64.4,31,0,4.7,clear sky
340,Samarai,PG,-10.62,150.67,78.87,86,15,17.38,moderate rain
341,Airai,TL,-8.93,125.41,54.48,45,18,2.8,few clouds
342,Okhotsk,RU,59.38,143.3,54.9,49,42,5.23,scattered clouds
343,Klyuchi,RU,52.27,79.17,63.36,53,40,6.64,scattered clouds
344,Mgachi,RU,51.05,142.27,52.77,70,35,3.91,scattered clouds
345,Chimbote,PE,-9.09,-78.58,64.31,75,9,13.02,clear sky
346,Saint George,US,37.1,-113.58,98.6,16,1,9.91,clear sky
347,Beringovskiy,RU,63.05,179.32,48.92,88,100,22.24,overcast clouds
348,Coihaique,CL,-45.58,-72.07,42.8,56,75,8.05,broken clouds
349,Tanete,ID,-3.94,119.78,75.58,79,92,12.41,overcast clouds
350,Husavik,IS,66.04,-17.34,48.2,87,75,5.82,broken clouds
351,Isiro,CD,2.77,27.62,64.36,97,100,1.52,overcast clouds
352,Ketchikan,US,55.34,-131.65,57.2,76,90,2.35,overcast clouds
353,Richards Bay,ZA,-28.78,32.04,67.26,69,100,12.59,overcast clouds
354,Goderich,CA,43.75,-81.72,70.0,80,60,14.09,broken clouds
355,Port Hedland,AU,-20.32,118.57,66.2,55,0,8.05,clear sky
356,Sarny,UA,51.34,26.6,65.03,77,14,6.46,few clouds
357,Bentiu,SS,9.23,29.83,72.61,89,67,2.39,broken clouds
358,Waddan,LY,29.16,16.14,81.54,39,0,16.35,clear sky
359,Moundou,TD,8.57,16.08,69.12,97,97,3.85,overcast clouds
360,Garden City,US,42.33,-83.33,81.0,44,75,17.22,broken clouds
361,Ust-Shonosha,RU,61.15,41.34,50.9,94,82,6.02,broken clouds
